key,id_type,id,title,year,venue,cluster,tier,verified_at,verification_source,url
"ann2026interactiontax","arxiv","2608.23541","The Interaction Tax: When Communication Erases Diversity in Multi-Agent Teams","2026","ICML 2026 (PMLR 306), per arXiv comment; arXiv (cs.MA, cs.AI)","C1-architectures","should","2026-09-03T22:41:11Z","arXiv abs page https://arxiv.org/abs/2608.23541 (v1 2026-08-24; comment: 14 pages, 3 figures, accepted at ICML 2026 (PMLR 306)); API returned empty after retries","https://arxiv.org/abs/2608.23541"
"banerjee2026routedgraph","arxiv","2608.25277","Routed Graph Handoff: Adaptive Format Selection for Multi-Agent LLM Delegation","2026","Accepted in EMNLP 2026; arXiv preprint (cs.CL, cs.AI)","C1-architectures","should","2026-09-03T22:41:11Z","arXiv abs page 2608.25277 (submitted 2026-08-26), comment 'Accepted in EMNLP 2026'; title, authors and abstract read","https://arxiv.org/abs/2608.25277"
"carlini2026buildingcompiler","url","https://www.anthropic.com/engineering/building-c-compiler","Building a C compiler with a team of parallel Claudes","2026","Anthropic Engineering blog, Feb 05, 2026","C1-architectures","should","2026-09-03T20:21:58Z","WebFetch of https://www.anthropic.com/engineering/building-c-compiler (title, byline, date read from page)","https://www.anthropic.com/engineering/building-c-compiler"
"cho2026agentroomconcurrent","arxiv","2608.23740","AgentRoom: Concurrent Multi-Agent Coding in a CRDT-Backed Shared Workspace","2026","arXiv preprint (cs.AI, cs.SE)","C1-architectures","should","2026-09-03T22:41:11Z","arXiv API export.arxiv.org/api/query?id_list=2608.23740 (v1, published 2026-08-24)","https://arxiv.org/abs/2608.23740"
"destefanis2026coordinatemeasuring","arxiv","2608.16801","When Agents Coordinate: Measuring Coordination in Multi-Agent AI Coding","2026","arXiv preprint (cs.AI, cs.SE)","C1-architectures","should","2026-09-03T22:41:11Z","arXiv abs page https://arxiv.org/abs/2608.16801 (v1 2026-08-17); API returned empty after retries","https://arxiv.org/abs/2608.16801"
"fei2026codedelegatormitigating","arxiv","2601.14914","CodeDelegator: Mitigating Context Pollution via Role Separation in Code-as-Action Agents","2026","arXiv preprint (submitted 21 Jan 2026, v1)","C1-architectures","should","2026-09-03T20:21:58Z","arXiv abs page https://arxiv.org/abs/2601.14914 (WebFetch); title, authors, date and abstract match","https://arxiv.org/abs/2601.14914"
"gandhi2026recursiveoptimization","arxiv","2605.06639","Recursive Agent Optimization","2026","arXiv preprint","C1-architectures","optional","2026-09-03T22:41:11Z","arxiv.org abs page, retrieved 2026-09-03; title match, submitted 7 May 2026. Note: the abstract does not state the depth-6/depth-12 figures given in the candidate 'why'; those must be verified in the full text before citing.","https://arxiv.org/abs/2605.06639"
"guo2026harnesssurvey","arxiv","2606.20683","From Question Answering to Task Completion: A Survey on Agent System and Harness Design","2026","arXiv preprint","C1-architectures","optional","2026-09-03T06:56:09Z","https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2606.20683&metadataPrefix=arXiv","https://arxiv.org/abs/2606.20683"
"hagag2026architecturematters","arxiv","2604.23459","Architecture Matters for Multi-Agent Security","2026","arXiv preprint (cs.MA; cs.CR; cs.LG), submitted 25 Apr 2026","C1-architectures","must","2026-09-03T22:41:11Z","arXiv abs page https://arxiv.org/abs/2604.23459 (curl, 2026-09-03)","https://arxiv.org/abs/2604.23459"
"hsu2026whereknowledge","arxiv","2607.02975","Where Knowledge and Authority Sit Changes What an Agent Benchmark Can Resolve","2026","arXiv preprint (submitted 3 Jul 2026, revised 30 Aug 2026)","C1-architectures","must","2026-09-03T22:41:11Z","arXiv export API record for 2607.02975 (title, authors, dates, abstract)","https://arxiv.org/abs/2607.02975"
