key,type,status,registry,http,id,bib_title,reg_title,bib_year,reg_year,reg_first,title_match,year_match,author_match
anthropic2026cardclaude,misc,OK,url,200,https://www-cdn.anthropic.com/ceaf5c7ff2783855203fde8208ec311252dced5b/Claude%20Opus%205%20System%20Card.pdf,{System Card: Claude Opus 5},,2026,,,True,True,True
anthropic2026subagentssdk,misc,OK,url,200,https://code.claude.com/docs/en/agent-sdk/subagents,{Subagents in the SDK},,2026,,,True,True,True
armitage1955tests,article,OK,crossref,200,10.2307/3001775,{Tests for Linear Trends in Proportions and Frequencies},Tests for Linear Trends in Proportions and Frequencies,1955,1955,Armitage,True,True,True
barbaste2026harnessengineering,misc,CHECK,datacite,200,2609.00006,"{Harness Engineering: Anatomy, Architecture, and Evolution of Coding Agents -- A Source-Code Study of Eleven Systems}","Harness Engineering: Anatomy, Architecture, and Evolution of Coding Agents -- A Source-Code Study of Eleven Systems",2026,2026,Barbaste,True,True,False
cemri2025mast,misc,OK,datacite,200,2503.13657,{Why Do Multi-Agent LLM Systems Fail?},Why Do Multi-Agent LLM Systems Fail?,2025,2025,Cemri,True,True,True
chen2026buildinguse,misc,OK,url,200,https://claude.com/blog/building-multi-agent-systems-when-and-how-to-use-them,{Building multi-agent systems: When and how to use them},,2026,,,True,True,True
chen2026seeingwhole,misc,OK,datacite,200,2604.22708,{Seeing the Whole Elephant: A Benchmark for Failure Attribution in LLM-based Multi-Agent Systems},Seeing the Whole Elephant: A Benchmark for Failure Attribution in LLM-based Multi-Agent Systems,2026,2026,Chen,True,True,True
chen2026selfcorrection,misc,CHECK,datacite,200,2606.05976,{The Self-Correction Illusion: Role Relabeling Gates Explicit Error Flagging in Large Language Models},The Self-Correction Illusion: Role Relabeling Gates Explicit Error Flagging in Large Language Models,2026,2026,Chen,True,True,False
cochran1954some,article,OK,crossref,200,10.2307/3001616,{Some Methods for Strengthening the Common $\chi^2$ Tests},Some Methods for Strengthening the Common χ 2 Tests,1954,1954,Cochran,True,True,True
documentation2026orchestrateteams,misc,OK,url,200,https://code.claude.com/docs/en/agent-teams,{Orchestrate teams of Claude Code sessions},,2026,,,True,True,True
firth1993bias,article,OK,crossref,200,10.1093/biomet/80.1.27,{Bias Reduction of Maximum Likelihood Estimates},Bias reduction of maximum likelihood estimates,1993,1993,FIRTH,True,True,True
fu2026scalingreasoning,misc,CHECK,datacite,200,2505.14810,"{Scaling Reasoning, Losing Control: Evaluating Instruction Following in Large Reasoning Models}","Scaling Reasoning, Losing Control: Evaluating Instruction Following in Large Reasoning Models",2026,2025,Fu,True,False,True
galbraith1974information,article,OK,crossref,200,10.1287/inte.4.3.28,{Organization Design: An Information Processing View},Organization Design: An Information Processing View,1974,1974,Galbraith,True,True,True
gamage2026omissionconstraints,misc,OK,datacite,200,2604.20911,{Omission Constraints Decay While Commission Constraints Persist in Long-Context LLM Agents},Omission Constraints Decay While Commission Constraints Persist in Long-Context LLM Agents,2026,2026,Gamage,True,True,True
