candidate,reason
"HieraBench (Jiang et al., 2026), cited inside arXiv 2606.07808 as an instruction-hierarchy benchmark","No arXiv identifier or DOI could be located by web search; only secondary mentions in other papers' related-work sections. Not resolvable against a primary index."
"IHDec: Divergence-Steered Contrastive Decoding for Securing Multi-Turn Instruction Hierarchies, arXiv 2606.29960 (Nicole Geumheon Liu, Haeun Jang, Yonghyun Jun, Hwanhee Lee)","Verified on the arXiv OAI-PMH index but trimmed to stay within the 16-entry target; it is an inference-time defence method, not a measurement of worker-side adherence."
"Steering Instruction Hierarchies at Inference Time, arXiv 2607.26228 (Siqi Zeng, Sewoong Lee, Han Zhao, Julia Hockenmaier; COLM 2026)","Verified on the arXiv OAI-PMH index but trimmed to stay within the 16-entry target; a value-vector steering method rather than an empirical adherence study."
"A Closer Look at System Prompt Robustness, arXiv 2502.12197 (Norman Mu, Jonathan Lu, Michael Lavery, David Wagner)","Verified on the arXiv OAI-PMH index but trimmed to stay within the 16-entry target; single-agent system-prompt robustness is already covered by SysBench and IHEval."
"IFHierBench: Hierarchical Instruction Following for Large Language Models, arXiv 2607.27912 (Yuetian Mao, Chunyang Chen)","Verified on the arXiv OAI-PMH index but excluded: its 'hierarchy' is a constraint tree over output sections, not a privilege hierarchy over instruction sources, so it belongs to an instruction-following cluster rather than C6."
"Infrastructure for AI Agents (arXiv 2501.10114, Chan et al. 2025)","Resolved via arXiv API but not selected: protocol-level agent infrastructure overlaps Visibility into AI Agents and adds little to the principal-agent framing; cluster cap of 10 reached."
"Overlaying Governance: A Compositional Authorization Framework for Delegation and Scope in Agentic AI (arXiv 2606.03518)","Resolved via arXiv API but not selected: IAM/authorization engineering rather than principal-agent behaviour; Authenticated Delegation already covers the delegation-scope angle."
"Minimal Oversight: Uncertainty-Aware Governance for Delegated AI Systems (arXiv 2606.15563)","Resolved via arXiv API but not selected: information-geometric oversight theory with no empirical link to worker-side instruction adherence."
"Safe Multi-Agent Behavior Must Be Maintained, Not Merely Asserted: Constraint Drift in LLM-Based Multi-Agent Systems (arXiv 2605.10481)","Resolved via arXiv API; belongs to a goal-drift or constraint-drift cluster rather than principal-agent governance, so left for that cluster's owner."
"The Provenance Paradox in Multi-Agent LLM Routing: Delegation Contracts and Attested Identity in LDP (arXiv 2603.18043)","Resolved via arXiv API but not selected: single-author protocol proposal about routing identity, tangential to the paper's claim."
"The 2025 AI Agent Index (arXiv 2602.17753, DOI 10.1145/3805689.3806728)","Resolved via arXiv API but not selected: documentation index of deployed agents, not principal-agent theory."
"Authorization Propagation in Multi-Agent AI Systems: Identity Governance as Infrastructure (arXiv 2605.05440)","Resolved via arXiv API but not selected: identity-infrastructure focus duplicates Authenticated Delegation."
"On the Regulatory Potential of User Interfaces for AI Agent Governance (arXiv 2512.00742)","Resolved via arXiv API but not selected: human-facing UI governance, outside the orchestrator-worker scope."
"AgentMisalignment: Measuring the Propensity for Misaligned Behaviour in LLM-Based Agents (arXiv 2506.04018)","Resolved via arXiv API; a misalignment benchmark that belongs to the goal-drift or agentic-misalignment cluster, not this one."
"Regulating AI Agents (SSRN 10.2139/ssrn.6462658, Gardhouse, Oueslati, Kolt 2026)","Surfaced by Crossref while checking Kolt; not fetched from a primary index beyond the Crossref search hit and not needed given Governing AI Agents is already included."
"Reward Hacking Benchmark: Measuring Exploits in LLM Agents with Tool Use, arXiv 2605.02964 (Kunvar Thaman, ICML 2026)","Verified via https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2605.02964&metadataPrefix=arXiv but held back to respect the 14-entry target; strong candidate if a specification-gaming-in-agents slot opens (literal objective vs intent, exploit rates 0% to 13.9%)."
"Many-Tier Instruction Hierarchy in LLM Agents, arXiv 2604.09443 (Jingyu Zhang and Tianjian Li and William Jurayj and Hongyuan Zhan and Benjamin Van Durme and Daniel Khashabi)","Verified via https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2604.09443&metadataPrefix=arXiv; belongs to an instruction-hierarchy cluster rather than C5-drift (conflicts across instruction sources including other agents), held back from this cluster."
"Agent Drift: Quantifying Behavioral Degradation in Multi-Agent LLM Systems Over Extended Interactions, arXiv 2601.04170 (Abhishek Rath)","Verified via https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2601.04170&metadataPrefix=arXiv; single-author, no venue, and its 'drift' is behavioural degradation over long interactions rather than goal substitution; held back as weak fit."
"Evaluating Frontier Models for Stealth and Situational Awareness, arXiv 2505.01420 (Mary Phuong and Roland S. Zimmermann and Ziyue Wang and David Lindner and Victoria Krakovna and Sarah Cogan and Allan Dafoe and Lewis Ho and Rohin Shah)","Verified via https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2505.01420&metadataPrefix=arXiv; scheming-capability evaluations (stealth, situational awareness) rather than propensity to deviate; held back to keep the cluster within target size."
"Even More Deception: Objective Misalignment in Mixed-Motive LLM Multi-Agent Systems, arXiv 2607.26120 (Marylou Fauchard and Florian Carichon and Margarida Carvalho and Golnoosh Farnadi, AIWILD@ICLR 2026)","Verified via https://oaipmh.arxiv.org/oai?verb=GetRecord&identifier=oai:arXiv.org:2607.26120&metadataPrefix=arXiv; mixed-motive adversarial negotiation setting, not hierarchical cooperative delegation; held back."
"Lingrui Mei et al., A Survey of Context Engineering for Large Language Models, arXiv 2507.13334","Resolved via OAI (15 authors, verified 2026-09-03T06:49:22Z) but excluded: a 166-page ongoing survey adds no evidence the cluster does not already carry; include only if a general context-engineering pointer is wanted."
"Lindenbauer et al., The Complexity Trap: Simple Observation Masking Is as Efficient as LLM Summarization for Agent Context Management, arXiv 2508.21433","Resolved via OAI (DL4C workshop at NeurIPS 2025) but excluded: it compares context-pruning strategies within a single agent, not hierarchical visibility across agents."
"Wu et al., ContextBudget: Budget-Aware Context Management for Long-Horizon Search Agents, arXiv 2604.01664","Resolved via OAI but excluded: single-agent search budgeting, no orchestrator-worker component."
"Lin et al., Context as an Environment: Programmatic Context Management for Long-Horizon Agents, arXiv 2608.21690","Resolved via OAI but excluded: eviction/recovery mechanism for a single agent's log, orthogonal to the worker-visibility question."
"Kang et al., ACON: Optimizing Context Compression for Long-horizon LLM Agents, arXiv 2510.00615 (ICML 2026)","Resolved via OAI but excluded: compression method, not an adherence or visibility study."
"Laban et al., LLMs Get Lost In Multi-Turn Conversation, arXiv 2505.06120","Resolved via OAI but excluded: multi-turn underspecification in single-agent chat; belongs to an instruction-following cluster rather than C2-context."
"Vishnyakova, Context Engineering: From Prompts to Corporate Multi-Agent Architecture, arXiv 2603.09619","Resolved via OAI but excluded: conceptual criteria (relevance, sufficiency, isolation, economy, provenance) without measurements; cite only if a definitional source for context isolation is needed."
"Zhu et al., SemaClaw, arXiv 2604.11548; Lumer et al., Recursive Agent Harnesses, arXiv 2606.13643; Guo et al., From Question Answering to Task Completion (harness survey), arXiv 2606.20683","All resolved via OAI but excluded from C2-context: harness-engineering system papers whose sub-agent isolation is a design feature rather than a studied variable; better suited to an orchestration or harness cluster if one exists."
"Simon, Administrative Behavior (book)","Not indexed in Crossref as a monograph; only book reviews of it resolve (e.g. 10.2307/2390693, 10.2307/2065048). Substituted with Simon 1964 'On the Concept of Organizational Goal' (10.2307/2391519), entry simon1964goal."
"Marschak and Radner 1972, Economic Theory of Teams (book)","Not indexed in Crossref; only reviews resolve (10.7202/028345ar, 10.1086/295563, 10.1017/s0770451800031109). No primary record to copy title and authors from; Radner 1993 covers the team-theoretic argument in this cluster."
"Cannon-Bowers, Salas and Converse 1993, shared mental models chapter","Chapter in Castellan (ed.) Individual and Group Decision Making is not in Crossref; author-filtered search returns only later related work. Substituted with Mathieu et al. 2000 (10.1037/0021-9010.85.2.273), entry mathieu2000influence."
"Hackman 1987, 'The design of work teams' chapter","Not in Crossref; author-filtered search returns only Hackman and Oldham 1976, 'Why Teams Don't Work' and 'Leading teams' 2004. Substituted with Hackman 2004 (10.1108/13527590410545081), entry hackman2004leading."
"Sah and Stiglitz 1986, 'The Architecture of Economic Systems: Hierarchies and Polyarchies' (AER)","Considered as an extra for V5; the AER article is not in Crossref (only NBER working paper 10.3386/w1334 and the 1988 Economic Journal follow-up 10.2307/2233377). Not included to stay near the target count."
"Arrow 1974, The Limits of Organization (book)","Considered as an extra; only a review (10.2307/3438925) is in Crossref."
