run=suite-a models=deepseek,muse conds=V0,V1,V2,V3,V4,LM2,LM4,HM2,HM4,V2N,V2P,V4L,LML draws=3 items=200 pending=15600 done=0 cap=$45
  20/15600 done, $0.0289 spent, 21s
  40/15600 done, $0.0643 spent, 45s
  60/15600 done, $0.1169 spent, 89s
  80/15600 done, $0.1575 spent, 110s
  100/15600 done, $0.2460 spent, 167s
  120/15600 done, $0.3173 spent, 212s
  140/15600 done, $0.4084 spent, 261s
  160/15600 done, $0.4532 spent, 296s
  180/15600 done, $0.5648 spent, 342s
  200/15600 done, $0.6468 spent, 377s
  220/15600 done, $0.6942 spent, 413s
  240/15600 done, $0.7745 spent, 445s
  260/15600 done, $0.7953 spent, 489s
  280/15600 done, $0.8755 spent, 535s
  300/15600 done, $0.9562 spent, 559s
  320/15600 done, $1.0260 spent, 580s
  340/15600 done, $1.0657 spent, 612s
  360/15600 done, $1.1285 spent, 639s
  380/15600 done, $1.1924 spent, 689s
  400/15600 done, $1.2545 spent, 712s
  420/15600 done, $1.3047 spent, 760s
  440/15600 done, $1.3762 spent, 815s
  460/15600 done, $1.4719 spent, 887s
  480/15600 done, $1.5480 spent, 935s
  500/15600 done, $1.6549 spent, 968s
  520/15600 done, $1.7088 spent, 1028s
  540/15600 done, $1.7572 spent, 1065s
  560/15600 done, $1.8598 spent, 1110s
  580/15600 done, $1.9264 spent, 1149s
  600/15600 done, $1.9710 spent, 1210s
  620/15600 done, $2.0441 spent, 1250s
  640/15600 done, $2.0909 spent, 1278s
  660/15600 done, $2.1843 spent, 1316s
  680/15600 done, $2.2590 spent, 1351s
  700/15600 done, $2.3406 spent, 1396s
  720/15600 done, $2.4128 spent, 1428s
  740/15600 done, $2.4697 spent, 1450s
  760/15600 done, $2.5274 spent, 1486s
  780/15600 done, $2.5933 spent, 1533s
  800/15600 done, $2.6590 spent, 1567s
  820/15600 done, $2.7133 spent, 1589s
  840/15600 done, $2.7755 spent, 1630s
  860/15600 done, $2.8250 spent, 1669s
  880/15600 done, $2.8722 spent, 1703s
  900/15600 done, $2.9281 spent, 1741s
  920/15600 done, $2.9924 spent, 1762s
  940/15600 done, $3.0214 spent, 1783s
  960/15600 done, $3.0449 spent, 1810s
  980/15600 done, $3.1103 spent, 1832s
  1000/15600 done, $3.1216 spent, 1850s
  1020/15600 done, $3.1727 spent, 1870s
  1040/15600 done, $3.2067 spent, 1883s
  1060/15600 done, $3.2643 spent, 1899s
  1080/15600 done, $3.2782 spent, 1920s
  1100/15600 done, $3.3360 spent, 1943s
  1120/15600 done, $3.3760 spent, 1962s
  1140/15600 done, $3.4117 spent, 1982s
  1160/15600 done, $3.4341 spent, 1998s
  1180/15600 done, $3.4664 spent, 2019s
  1200/15600 done, $3.5070 spent, 2036s
  1220/15600 done, $3.5706 spent, 2053s
  1240/15600 done, $3.6158 spent, 2072s
  1260/15600 done, $3.6473 spent, 2093s
  1280/15600 done, $3.6658 spent, 2115s
  1300/15600 done, $3.7012 spent, 2141s
  1320/15600 done, $3.7201 spent, 2169s
  1340/15600 done, $3.7406 spent, 2182s
  1360/15600 done, $3.7737 spent, 2204s
  1380/15600 done, $3.7915 spent, 2218s
  1400/15600 done, $3.8314 spent, 2223s
  1420/15600 done, $3.8617 spent, 2231s
  1440/15600 done, $3.8761 spent, 2237s
  1460/15600 done, $3.8910 spent, 2245s
  1480/15600 done, $3.9126 spent, 2253s
  1500/15600 done, $3.9283 spent, 2260s
  1520/15600 done, $3.9450 spent, 2266s
  1540/15600 done, $3.9748 spent, 2273s
  1560/15600 done, $3.9893 spent, 2279s
  1580/15600 done, $4.0045 spent, 2285s
  1600/15600 done, $4.0418 spent, 2292s
  1620/15600 done, $4.0585 spent, 2298s
  1640/15600 done, $4.0748 spent, 2303s
  1660/15600 done, $4.1155 spent, 2309s
  1680/15600 done, $4.1343 spent, 2314s
  1700/15600 done, $4.1560 spent, 2321s
  1720/15600 done, $4.1712 spent, 2325s
  1740/15600 done, $4.2097 spent, 2330s
  1760/15600 done, $4.2284 spent, 2334s
  1780/15600 done, $4.2444 spent, 2338s
  1800/15600 done, $4.2625 spent, 2344s
  1820/15600 done, $4.2790 spent, 2348s
  1840/15600 done, $4.3176 spent, 2354s
  1860/15600 done, $4.3395 spent, 2358s
  1880/15600 done, $4.3572 spent, 2363s
  1900/15600 done, $4.3778 spent, 2368s
  1920/15600 done, $4.3952 spent, 2372s
  1940/15600 done, $4.4155 spent, 2379s
  1960/15600 done, $4.4582 spent, 2384s
  1980/15600 done, $4.4786 spent, 2390s
  2000/15600 done, $4.4995 spent, 2394s
  2020/15600 done, $4.5164 spent, 2399s
  2040/15600 done, $4.5322 spent, 2404s
  2060/15600 done, $4.5467 spent, 2422s
  2080/15600 done, $4.5764 spent, 2439s
  2100/15600 done, $4.6045 spent, 2458s
  2120/15600 done, $4.6481 spent, 2479s
  2140/15600 done, $4.6742 spent, 2507s
  2160/15600 done, $4.7081 spent, 2524s
  2180/15600 done, $4.7510 spent, 2542s
  2200/15600 done, $4.7798 spent, 2565s
  2220/15600 done, $4.8173 spent, 2591s
  2240/15600 done, $4.8555 spent, 2611s
  2260/15600 done, $4.8903 spent, 2630s
  2280/15600 done, $4.9224 spent, 2655s
  2300/15600 done, $4.9568 spent, 2685s
  2320/15600 done, $4.9934 spent, 2713s
  2340/15600 done, $5.0316 spent, 2728s
  2360/15600 done, $5.0625 spent, 2740s
  2380/15600 done, $5.0957 spent, 2753s
  2400/15600 done, $5.1201 spent, 2776s
  2420/15600 done, $5.1625 spent, 2795s
  2440/15600 done, $5.1978 spent, 2820s
  2460/15600 done, $5.2305 spent, 2856s
  2480/15600 done, $5.2932 spent, 2893s
  2500/15600 done, $5.3420 spent, 2931s
  2520/15600 done, $5.3761 spent, 2957s
  2540/15600 done, $5.4261 spent, 2988s
  2560/15600 done, $5.4615 spent, 3019s
  2580/15600 done, $5.5055 spent, 3046s
  2600/15600 done, $5.5410 spent, 3076s
  2620/15600 done, $5.5898 spent, 3104s
  2640/15600 done, $5.6200 spent, 3117s
  2660/15600 done, $5.6578 spent, 3136s
  2680/15600 done, $5.6901 spent, 3161s
  2700/15600 done, $5.7237 spent, 3187s
  2720/15600 done, $5.7600 spent, 3219s
  2740/15600 done, $5.8045 spent, 3246s
  2760/15600 done, $5.8450 spent, 3270s
  2780/15600 done, $5.8903 spent, 3297s
  2800/15600 done, $5.9223 spent, 3330s
  2820/15600 done, $5.9594 spent, 3357s
  2840/15600 done, $6.0036 spent, 3376s
  2860/15600 done, $6.0410 spent, 3392s
  2880/15600 done, $6.0633 spent, 3406s
  2900/15600 done, $6.0968 spent, 3417s
  2920/15600 done, $6.1249 spent, 3429s
  2940/15600 done, $6.1623 spent, 3437s
  2960/15600 done, $6.1917 spent, 3445s
  2980/15600 done, $6.2194 spent, 3451s
  3000/15600 done, $6.2424 spent, 3459s
  3020/15600 done, $6.2677 spent, 3466s
  3040/15600 done, $6.2871 spent, 3472s
  3060/15600 done, $6.3117 spent, 3478s
  3080/15600 done, $6.3386 spent, 3486s
  3100/15600 done, $6.3635 spent, 3490s
  3120/15600 done, $6.3807 spent, 3495s
  3140/15600 done, $6.4046 spent, 3501s
  3160/15600 done, $6.4256 spent, 3509s
  3180/15600 done, $6.4454 spent, 3519s
  3200/15600 done, $6.4668 spent, 3529s
  3220/15600 done, $6.4991 spent, 3536s
  3240/15600 done, $6.5280 spent, 3542s
  3260/15600 done, $6.5557 spent, 3549s
  3280/15600 done, $6.5743 spent, 3557s
  3300/15600 done, $6.5962 spent, 3566s
  3320/15600 done, $6.6305 spent, 3574s
  3340/15600 done, $6.6564 spent, 3579s
  3360/15600 done, $6.6805 spent, 3587s
  3380/15600 done, $6.7168 spent, 3592s
  3400/15600 done, $6.7472 spent, 3599s
  3420/15600 done, $6.7724 spent, 3605s
  3440/15600 done, $6.7943 spent, 3613s
  3460/15600 done, $6.8254 spent, 3623s
  3480/15600 done, $6.8504 spent, 3630s
  3500/15600 done, $6.8743 spent, 3636s
  3520/15600 done, $6.9005 spent, 3641s
  3540/15600 done, $6.9129 spent, 3647s
  3560/15600 done, $6.9297 spent, 3654s
  3580/15600 done, $6.9517 spent, 3661s
  3600/15600 done, $6.9879 spent, 3683s
  3620/15600 done, $7.0155 spent, 3701s
  3640/15600 done, $7.0357 spent, 3709s
  3660/15600 done, $7.0576 spent, 3718s
  3680/15600 done, $7.0772 spent, 3725s
  3700/15600 done, $7.1033 spent, 3734s
  3720/15600 done, $7.1237 spent, 3746s
  3740/15600 done, $7.1574 spent, 3765s
  3760/15600 done, $7.1825 spent, 3777s
  3780/15600 done, $7.1963 spent, 3784s
  3800/15600 done, $7.2156 spent, 3792s
  3820/15600 done, $7.2377 spent, 3800s
  3840/15600 done, $7.2571 spent, 3830s
  3860/15600 done, $7.2862 spent, 3849s
  3880/15600 done, $7.3317 spent, 3867s
  3900/15600 done, $7.3636 spent, 3885s
  3920/15600 done, $7.3826 spent, 3894s
  3940/15600 done, $7.4065 spent, 3901s
  3960/15600 done, $7.4259 spent, 3906s
  3980/15600 done, $7.4454 spent, 3919s
  4000/15600 done, $7.4637 spent, 3935s
  4020/15600 done, $7.4901 spent, 3959s
  4040/15600 done, $7.5297 spent, 3970s
  4060/15600 done, $7.5544 spent, 3990s
  4080/15600 done, $7.5760 spent, 3997s
  4100/15600 done, $7.5938 spent, 4002s
  4120/15600 done, $7.6134 spent, 4007s
  4140/15600 done, $7.6328 spent, 4015s
  4160/15600 done, $7.6560 spent, 4030s
  4180/15600 done, $7.6812 spent, 4043s
  4200/15600 done, $7.7195 spent, 4068s
  4220/15600 done, $7.7509 spent, 4086s
  4240/15600 done, $7.7763 spent, 4101s
  4260/15600 done, $7.8127 spent, 4116s
  4280/15600 done, $7.8297 spent, 4139s
  4300/15600 done, $7.8592 spent, 4163s
  4320/15600 done, $7.8971 spent, 4187s
  4340/15600 done, $7.9418 spent, 4210s
  4360/15600 done, $7.9693 spent, 4234s
  4380/15600 done, $8.0060 spent, 4260s
  4400/15600 done, $8.0442 spent, 4274s
  4420/15600 done, $8.0944 spent, 4301s
  4440/15600 done, $8.1127 spent, 4335s
  4460/15600 done, $8.1553 spent, 4370s
  4480/15600 done, $8.1874 spent, 4391s
  4500/15600 done, $8.2293 spent, 4416s
  4520/15600 done, $8.2939 spent, 4436s
  4540/15600 done, $8.3490 spent, 4457s
  4560/15600 done, $8.4138 spent, 4515s
  4580/15600 done, $8.4673 spent, 4550s
  4600/15600 done, $8.4877 spent, 4570s
  4620/15600 done, $8.5698 spent, 4596s
  4640/15600 done, $8.6316 spent, 4636s
  4660/15600 done, $8.6910 spent, 4668s
  4680/15600 done, $8.7443 spent, 4690s
  4700/15600 done, $8.7624 spent, 4712s
  4720/15600 done, $8.8117 spent, 4733s
  4740/15600 done, $8.8408 spent, 4754s
  4760/15600 done, $8.9248 spent, 4778s
  4780/15600 done, $8.9441 spent, 4794s
  4800/15600 done, $8.9964 spent, 4811s
  4820/15600 done, $9.0189 spent, 4832s
  4840/15600 done, $9.0471 spent, 4856s
  4860/15600 done, $9.0769 spent, 4872s
  4880/15600 done, $9.1221 spent, 4900s
  4900/15600 done, $9.1540 spent, 4926s
  4920/15600 done, $9.2017 spent, 4949s
  4940/15600 done, $9.2125 spent, 4971s
  4960/15600 done, $9.2545 spent, 5008s
  4980/15600 done, $9.3114 spent, 5031s
  5000/15600 done, $9.3489 spent, 5057s
  5020/15600 done, $9.4073 spent, 5079s
  5040/15600 done, $9.4536 spent, 5095s
  5060/15600 done, $9.4938 spent, 5119s
  5080/15600 done, $9.5212 spent, 5142s
  5100/15600 done, $9.5599 spent, 5180s
  5120/15600 done, $9.5811 spent, 5208s
  5140/15600 done, $9.6124 spent, 5228s
  5160/15600 done, $9.6714 spent, 5244s
  5180/15600 done, $9.7092 spent, 5272s
  5200/15600 done, $9.7746 spent, 5306s
  5220/15600 done, $9.8178 spent, 5332s
  5240/15600 done, $9.8633 spent, 5363s
  5260/15600 done, $9.8967 spent, 5384s
  5280/15600 done, $9.9218 spent, 5407s
  5300/15600 done, $9.9481 spent, 5427s
  5320/15600 done, $9.9934 spent, 5463s
  5340/15600 done, $10.0761 spent, 5483s
  5360/15600 done, $10.1171 spent, 5501s
  5380/15600 done, $10.1805 spent, 5534s
  5400/15600 done, $10.2385 spent, 5569s
  5420/15600 done, $10.2843 spent, 5586s
  5440/15600 done, $10.2932 spent, 5596s
  5460/15600 done, $10.3237 spent, 5614s
  5480/15600 done, $10.3543 spent, 5628s
  5500/15600 done, $10.3951 spent, 5667s
  5520/15600 done, $10.4339 spent, 5693s
  5540/15600 done, $10.4636 spent, 5721s
  5560/15600 done, $10.5135 spent, 5758s
  5580/15600 done, $10.5746 spent, 5782s
  5600/15600 done, $10.6408 spent, 5812s
  5620/15600 done, $10.6742 spent, 5843s
  5640/15600 done, $10.7522 spent, 5895s
  5660/15600 done, $10.8312 spent, 5939s
  5680/15600 done, $10.9087 spent, 5980s
  5700/15600 done, $10.9778 spent, 6023s
  5720/15600 done, $11.0330 spent, 6062s
  5740/15600 done, $11.0856 spent, 6085s
  5760/15600 done, $11.1494 spent, 6112s
  5780/15600 done, $11.1880 spent, 6144s
  5800/15600 done, $11.2176 spent, 6165s
  5820/15600 done, $11.2537 spent, 6194s
  5840/15600 done, $11.3051 spent, 6218s
  5860/15600 done, $11.3476 spent, 6245s
  5880/15600 done, $11.3875 spent, 6269s
  5900/15600 done, $11.4468 spent, 6302s
  5920/15600 done, $11.5000 spent, 6343s
